From	Entry	Database	Gene Names	Gene Ontology (biological process)	Gene Ontology (molecular function)
evm.utg4.16	Q8CAA7	swissprot	Pgm2l1		glucose-1,6-bisphosphate synthase activity [GO:0047933]; intramolecular phosphotransferase activity [GO:0016868]; phosphoglucomutase activity [GO:0004614]
evm.utg4.18	A0A6P8J6K9	trembl	LOC116307413	signal transduction [GO:0007165]	GTPase activator activity [GO:0005096]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]
evm.utg4.18.1.5c22f04a	A0A6P8J6K9	trembl	LOC116307413	signal transduction [GO:0007165]	GTPase activator activity [GO:0005096]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]
evm.utg4.19	O95164	swissprot	UBL3 PNSC1		protein binding [GO:0005515]
evm.utg4.20	P51151	swissprot	RAB9A RAB9	positive regulation of exocytosis [GO:0045921]; Rab protein signal transduction [GO:0032482]; receptor-mediated endocytosis [GO:0006898]; regulation of protein localization [GO:0032880]; retrograde transport, endosome to Golgi [GO:0042147]	GDP binding [GO:0019003]; G protein activity [GO:0003925]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; protein binding [GO:0005515]
utg4.equina_smart_817336.mrna2	C0HLM6	swissprot	Smim20	mitochondrial respiratory chain complex IV assembly [GO:0033617]	
evm.utg4.23	Q9JII7	swissprot	Zfand2a Airap	cellular response to arsenic-containing substance [GO:0071243]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein targeting to ER [GO:0045047]	protein binding [GO:0005515]; zinc ion binding [GO:0008270]
evm.utg4.31	A0A6P8J9I2	trembl	LOC116307412		endonuclease activity [GO:0004519]
evm.utg4.31.1.5c22f04a	A0A6P8J0V4	trembl	LOC116307412		endonuclease activity [GO:0004519]
evm.utg4.33	A0A6P8J9H7	trembl	LOC116307409		calcium ion binding [GO:0005509]
evm.utg4.34	P52486	swissprot	Ubc4 UbcD4 CG8284	positive regulation of peptidoglycan recognition protein signaling pathway [GO:0061059]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]	proteasome binding [GO:0070628]; protein binding [GO:0005515]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]
evm.utg4.34.1.5c22f04a	P52486	swissprot	Ubc4 UbcD4 CG8284	positive regulation of peptidoglycan recognition protein signaling pathway [GO:0061059]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]	proteasome binding [GO:0070628]; protein binding [GO:0005515]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]
evm.utg4.34.1.5c22f04a.1.5c27949c	P35129	swissprot	let-70 ubc-2 M7.1	programmed cell death involved in cell development [GO:0010623]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]
evm.utg4.35	Q5XJQ5	swissprot	exosc9	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000467]; nuclear mRNA surveillance [GO:0071028]; nuclear polyadenylation-dependent rRNA catabolic process [GO:0071035]; RNA processing [GO:0006396]; rRNA catabolic process [GO:0016075]; TRAMP-dependent tRNA surveillance pathway [GO:0071038]; U1 snRNA 3'-end processing [GO:0034473]; U4 snRNA 3'-end processing [GO:0034475]; U5 snRNA 3'-end processing [GO:0034476]	mRNA 3'-UTR AU-rich region binding [GO:0035925]
evm.utg4.36	Q8JZY4	swissprot	Prorp Kiaa0391 Mrpp3	mitochondrial tRNA 5'-end processing [GO:0097745]; tRNA 5'-leader removal [GO:0001682]; tRNA processing [GO:0008033]	ribonuclease P activity [GO:0004526]
evm.utg4.37	Q9D531	swissprot	Nxnl2	photoreceptor cell maintenance [GO:0045494]; sensory perception [GO:0007600]; sensory perception of smell [GO:0007608]; visual perception [GO:0007601]	
evm.utg4.38	Q07G10	swissprot	alkbh8 TEgg091o15.1	tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098]	iron ion binding [GO:0005506]; nucleic acid binding [GO:0003676]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; transition metal ion binding [GO:0046914]; tRNA (5-carboxymethyluridine(34)-5-O)-methyltransferase activity [GO:0106335]; tRNA binding [GO:0000049]; tRNA (uridine) methyltransferase activity [GO:0016300]; zinc ion binding [GO:0008270]
evm.utg4.39	A0A6P8I8T9	trembl	LOC116300288	purine nucleobase metabolic process [GO:0006144]	hydroxyisourate hydrolase activity [GO:0033971]
evm.utg4.40	Q6XPS3	swissprot	TPTE2 TPIP	monoatomic ion transmembrane transport [GO:0034220]; monoatomic ion transport [GO:0006811]; phosphate-containing compound metabolic process [GO:0006796]; phosphatidylinositol biosynthetic process [GO:0006661]	monoatomic ion channel activity [GO:0005216]; phosphatase activity [GO:0016791]; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity [GO:0016314]; phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity [GO:0051800]
evm.utg4.42	P01053	swissprot		response to wounding [GO:0009611]	serine-type endopeptidase inhibitor activity [GO:0004867]
evm.utg4.43	O15067	swissprot	PFAS KIAA0361	'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]; 'de novo' XMP biosynthetic process [GO:0097294]; GMP biosynthetic process [GO:0006177]; L-glutamine metabolic process [GO:0006541]; purine nucleotide biosynthetic process [GO:0006164]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]; response to xenobiotic stimulus [GO:0009410]	phosphoribosylformylglycinamidine synthase activity [GO:0004642]
evm.utg4.44	Q9SVG0	swissprot	AVT3C At4g38250 F22I13.20	amino acid transmembrane transport [GO:0003333]; L-alpha-amino acid transmembrane transport [GO:1902475]; neutral amino acid transport [GO:0015804]	L-amino acid transmembrane transporter activity [GO:0015179]; neutral L-amino acid transmembrane transporter activity [GO:0015175]
evm.utg4.45	Q90YW0	swissprot	rpl9	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
evm.utg4.45.1.5c22f04b	Q90YW0	swissprot	rpl9	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
evm.utg4.46	A0A6P8IEY8	trembl	LOC116300283		ATP hydrolysis activity [GO:0016887]
evm.utg4.47	P27080	swissprot	ABT	mitochondrial ADP transmembrane transport [GO:0140021]; mitochondrial ATP transmembrane transport [GO:1990544]	ATP:ADP antiporter activity [GO:0005471]
evm.utg4.48	Q6P799	swissprot	Sars1 Sars	negative regulation of angiogenesis [GO:0016525]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of vascular endothelial growth factor production [GO:1904046]; selenocysteine incorporation [GO:0001514]; seryl-tRNA aminoacylation [GO:0006434]; tRNA aminoacylation for protein translation [GO:0006418]; tRNA C3-cytosine methylation [GO:0106217]; tRNA modification [GO:0006400]	aminoacyl-tRNA ligase activity [GO:0004812]; ATP binding [GO:0005524]; enzyme binding [GO:0019899]; nucleotide binding [GO:0000166]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; selenocysteine-tRNA ligase activity [GO:0098619]; serine-tRNA ligase activity [GO:0004828]; tRNA binding [GO:0000049]
evm.utg4.48.1.5c22f048	P13642	swissprot	SARS1 SARS SERS	negative regulation of angiogenesis [GO:0016525]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of vascular endothelial growth factor production [GO:1904046]; selenocysteine incorporation [GO:0001514]; seryl-tRNA aminoacylation [GO:0006434]; tRNA aminoacylation for protein translation [GO:0006418]	aminoacyl-tRNA ligase activity [GO:0004812]; ATP binding [GO:0005524]; nucleotide binding [GO:0000166]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; selenocysteine-tRNA ligase activity [GO:0098619]; serine-tRNA ligase activity [GO:0004828]
evm.utg4.49	P38636	swissprot	ATX1 YNL259C N0840	cellular response to oxidative stress [GO:0034599]; copper ion transport [GO:0006825]; intracellular iron ion homeostasis [GO:0006879]	copper chaperone activity [GO:0016531]; metal ion binding [GO:0046872]
evm.utg4.50	Q5R7R9	swissprot	SNW1 SKIIP	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of neurogenesis [GO:0050769]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; regulation of retinoic acid receptor signaling pathway [GO:0048385]; regulation of vitamin D receptor signaling pathway [GO:0070562]; retinoic acid receptor signaling pathway [GO:0048384]	nuclear receptor binding [GO:0016922]; nuclear retinoic acid receptor binding [GO:0042974]; nuclear vitamin D receptor binding [GO:0042809]; SMAD binding [GO:0046332]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]
evm.utg4.51	Q8BW75	swissprot	Maob	biogenic amine metabolic process [GO:0006576]; negative regulation of serotonin secretion [GO:0014063]; phenylethylamine catabolic process [GO:0019607]; positive regulation of dopamine metabolic process [GO:0045964]; response to steroid hormone [GO:0048545]; serotonin metabolic process [GO:0042428]	flavin adenine dinucleotide binding [GO:0050660]; identical protein binding [GO:0042802]; monoamine oxidase activity [GO:0097621]; primary methylamine oxidase activity [GO:0008131]
evm.utg4.52	A0A913YMH2	trembl		nucleotide-excision repair [GO:0006289]; regulation of transcription by RNA polymerase II [GO:0006357]	zinc ion binding [GO:0008270]
evm.utg4.53.1.5c22f048	B3EWZ9	swissprot		iron ion transport [GO:0006826]	copper ion binding [GO:0005507]
evm.utg4.53	B3EWZ9	swissprot		iron ion transport [GO:0006826]	copper ion binding [GO:0005507]
evm.utg4.53.1.5c22f048.1.5c27949a	B3EWZ9	swissprot		iron ion transport [GO:0006826]	copper ion binding [GO:0005507]
evm.utg4.62	A0A913YIM8	trembl			zinc ion binding [GO:0008270]
evm.utg4.66	A0A6P8IIC8	trembl	LOC116301383	synaptic vesicle endocytosis [GO:0048488]	
evm.utg4.66.1.5c22f049	A0A6P8IHI4	trembl	LOC116301383	synaptic vesicle endocytosis [GO:0048488]	
evm.utg4.68	A0A6P8IHJ1	trembl	LOC116301388	proteolysis [GO:0006508]	cysteine-type peptidase activity [GO:0008234]
evm.utg4.85	P22758	swissprot	TGM1	animal organ development [GO:0048513]; positive regulation of cell cycle [GO:0045787]; positive regulation of keratinocyte proliferation [GO:0010838]	protein-glutamine gamma-glutamyltransferase activity [GO:0003810]
evm.utg4.88	P35406	swissprot		adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; G protein-coupled dopamine receptor signaling pathway [GO:0007212]; G protein-coupled receptor signaling pathway [GO:0007186]; positive regulation of MAPK cascade [GO:0043410]; synaptic transmission, dopaminergic [GO:0001963]	alpha2-adrenergic receptor activity [GO:0004938]; dopamine neurotransmitter receptor activity, coupled via Gs [GO:0001588]; dopamine neurotransmitter receptor activity [GO:0004952]; G protein-coupled receptor activity [GO:0004930]
evm.utg5.3	A0A913YNT5	trembl		developmental growth [GO:0048589]	
evm.utg5.4	Q62513	swissprot	Znf260 Zfp260	regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
evm.utg5.9	A0A7M5XH02	trembl		DNA integration [GO:0015074]; DNA metabolic process [GO:0006259]	nucleic acid binding [GO:0003676]
evm.utg5.14	A0A6P8I039	trembl	LOC116294772	signal transduction [GO:0007165]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
evm.utg5.21	A0A7D9IRL4	trembl	PACLA_8A028287	chromatin remodeling [GO:0006338]	histone methyltransferase activity [GO:0042054]
evm.utg5.29	A0A6P8J020	trembl	LOC116307132	DNA integration [GO:0015074]	
evm.utg5.37	A0ABN8SP20	trembl	PEVE_00024540		ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
evm.utg5.40	A0A913YRC3	trembl		proteolysis [GO:0006508]	cysteine-type peptidase activity [GO:0008234]
evm.utg5.45	A0A6S7G1G3	trembl	PACLA_8A087691	chromatin remodeling [GO:0006338]	histone methyltransferase activity [GO:0042054]
evm.utg5.48	Q641Q3	swissprot	METRNL	brown fat cell differentiation [GO:0050873]; energy homeostasis [GO:0097009]; fat cell differentiation [GO:0045444]; negative regulation of inflammatory response [GO:0050728]; positive regulation of brown fat cell differentiation [GO:0090336]; response to cold [GO:0009409]; response to muscle activity [GO:0014850]; signal transduction [GO:0007165]	hormone activity [GO:0005179]
evm.utg5.52	Q29611	swissprot	CLN3	amino acid transport [GO:0006865]; amyloid precursor protein catabolic process [GO:0042987]; autophagosome-lysosome fusion [GO:0061909]; endocytosis [GO:0006897]; glycerophospholipid biosynthetic process [GO:0046474]; glycolipid transport [GO:0046836]; Golgi to lysosome transport [GO:0090160]; intracellular monoatomic cation homeostasis [GO:0030003]; intracellular water homeostasis [GO:0009992]; L-arginine transmembrane transport [GO:1903826]; learning or memory [GO:0007611]; lysosomal lumen acidification [GO:0007042]; lysosomal lumen pH elevation [GO:0035752]; lysosomal protein catabolic process [GO:1905146]; negative regulation of apoptotic process [GO:0043066]; phagosome-lysosome docking [GO:0090384]; phagosome-lysosome fusion [GO:0090385]; plasma membrane raft organization [GO:0044857]; positive regulation of caveolin-mediated endocytosis [GO:2001288]; positive regulation of Golgi to plasma membrane protein transport [GO:0042998]; positive regulation of pinocytosis [GO:0048549]; receptor-mediated endocytosis [GO:0006898]; regulation of arginine biosynthetic process [GO:1900079]; regulation of autophagosome maturation [GO:1901096]; regulation of cellular response to osmotic stress [GO:0106049]; regulation of cytoskeleton organization [GO:0051493]; regulation of fibroblast migration [GO:0010762]; regulation of modification of synaptic structure [GO:1905244]; regulation of phagosome maturation [GO:1905162]; regulation of protein localization to plasma membrane [GO:1903076]; regulation of protein processing [GO:0070613]; regulation of proteolysis [GO:0030162]; regulation of short-term neuronal synaptic plasticity [GO:0048172]; regulation of synaptic transmission, GABAergic [GO:0032228]; regulation of synaptic transmission, glutamatergic [GO:0051966]; renal potassium excretion [GO:0036359]; vesicle transport along microtubule [GO:0047496]	glycolipid binding [GO:0051861]; sulfatide binding [GO:0120146]
evm.utg5.53	Q8TBF5	swissprot	PIGX	GPI anchor biosynthetic process [GO:0006506]	
evm.utg5.54	P42125	swissprot	Eci1 Dci	fatty acid beta-oxidation [GO:0006635]	delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]; identical protein binding [GO:0042802]; intramolecular oxidoreductase activity, transposing C=C bonds [GO:0016863]
evm.utg5.54.1.5c22f190	P42126	swissprot	ECI1 DCI	fatty acid beta-oxidation [GO:0006635]	delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]; intramolecular oxidoreductase activity, transposing C=C bonds [GO:0016863]
evm.utg5.55	A4IHR1	swissprot	ift70a ttc30 ttc30a	cilium assembly [GO:0060271]; intraciliary transport [GO:0042073]; kidney development [GO:0001822]; skeletal system development [GO:0001501]	intraciliary transport particle B binding [GO:0120170]
evm.utg5.55.1.5c22f190	Q6INU8	swissprot	ift70a ttc30 ttc30a	intraciliary transport [GO:0042073]	intraciliary transport particle B binding [GO:0120170]
utg5.equina_smart_1391812.mrna1	Q9NFZ2	swissprot	Ggammae	G protein-coupled receptor signaling pathway [GO:0007186]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; sensory perception of taste [GO:0050909]	G-protein beta-subunit binding [GO:0031681]
evm.utg5.57	P21195	swissprot	P4HB PDIA1	response to endoplasmic reticulum stress [GO:0034976]	protein disulfide isomerase activity [GO:0003756]; protein heterodimerization activity [GO:0046982]
evm.utg5.57.1.5c22f190	P21195	swissprot	P4HB PDIA1	response to endoplasmic reticulum stress [GO:0034976]	protein disulfide isomerase activity [GO:0003756]; protein heterodimerization activity [GO:0046982]
evm.utg5.65	Q5XI73	swissprot	Arhgdia	cellular response to mechanical stimulus [GO:0071260]; cellular response to redox state [GO:0071461]; negative regulation of cell migration [GO:0030336]; regulation of cell shape [GO:0008360]; regulation of protein localization [GO:0032880]; regulation of Rho protein signal transduction [GO:0035023]; regulation of synaptic vesicle cycle [GO:0098693]; response to clozapine [GO:0097338]; response to risperidone [GO:0097336]; Rho protein signal transduction [GO:0007266]; semaphorin-plexin signaling pathway [GO:0071526]	fatty acid binding [GO:0005504]; Hsp90 protein binding [GO:0051879]; protein binding [GO:0005515]; protein kinase binding [GO:0019901]; Rho GDP-dissociation inhibitor activity [GO:0005094]; small GTPase binding [GO:0031267]
evm.utg5.66	Q9Y519	swissprot	TMEM184B C22orf5 PSEC0108		transmembrane transporter activity [GO:0022857]
evm.utg5.67	O64411	swissprot	MPAO1 MPAO PAO	polyamine catabolic process [GO:0006598]; spermine catabolic process [GO:0046208]	flavin adenine dinucleotide binding [GO:0050660]; N(8)-acetylspermidine oxidase (propane-1,3-diamine-forming) activity [GO:0052897]; polyamine oxidase activity [GO:0046592]; polyamine oxidase (propane-1,3-diamine-forming) activity [GO:0052900]
evm.utg7.3	Q92547	swissprot	TOPBP1 KIAA0259	broken chromosome clustering [GO:0141112]; chromosome organization [GO:0051276]; DNA damage checkpoint signaling [GO:0000077]; DNA damage response [GO:0006974]; DNA metabolic process [GO:0006259]; DNA replication checkpoint signaling [GO:0000076]; DNA replication initiation [GO:0006270]; double-strand break repair via alternative nonhomologous end joining [GO:0097681]; double-strand break repair via classical nonhomologous end joining [GO:0097680]; double-strand break repair via homologous recombination [GO:0000724]; homologous recombination [GO:0035825]; mitotic DNA replication checkpoint signaling [GO:0033314]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; protein localization to site of double-strand break [GO:1990166]; response to ionizing radiation [GO:0010212]	chromatin-protein adaptor activity [GO:0140463]; identical protein binding [GO:0042802]; phosphorylation-dependent protein binding [GO:0140031]; protein binding [GO:0005515]; protein serine/threonine kinase activator activity [GO:0043539]
evm.utg7.4	Q8BPA8	swissprot	Dpcd	determination of left/right symmetry [GO:0007368]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; flagellated sperm motility [GO:0030317]; lateral ventricle development [GO:0021670]; left/right pattern formation [GO:0060972]; spermatogenesis [GO:0007283]; third ventricle development [GO:0021678]; ventricular system development [GO:0021591]	protein binding [GO:0005515]
evm.utg7.4.1.5c22f361	Q6AYM4	swissprot	Dpcd	determination of left/right symmetry [GO:0007368]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; flagellated sperm motility [GO:0030317]; lateral ventricle development [GO:0021670]; left/right pattern formation [GO:0060972]; spermatogenesis [GO:0007283]; third ventricle development [GO:0021678]; ventricular system development [GO:0021591]	
evm.utg7.4.2.5c22f361	Q8BPA8	swissprot	Dpcd	determination of left/right symmetry [GO:0007368]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; flagellated sperm motility [GO:0030317]; lateral ventricle development [GO:0021670]; left/right pattern formation [GO:0060972]; spermatogenesis [GO:0007283]; third ventricle development [GO:0021678]; ventricular system development [GO:0021591]	protein binding [GO:0005515]
evm.utg7.5	O62714	swissprot	CASR PCAR1	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; detection of calcium ion [GO:0005513]; G protein-coupled receptor signaling pathway [GO:0007186]; intracellular calcium ion homeostasis [GO:0006874]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of intracellular signal transduction [GO:1902533]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; regulation of calcium ion transport [GO:0051924]	amino acid binding [GO:0016597]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; protein homodimerization activity [GO:0042803]
evm.utg7.6	P10746	swissprot	UROS	cellular response to amine stimulus [GO:0071418]; cellular response to arsenic-containing substance [GO:0071243]; heme A biosynthetic process [GO:0006784]; heme B biosynthetic process [GO:0006785]; heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]; response to platinum ion [GO:0070541]; tetrapyrrole biosynthetic process [GO:0033014]; uroporphyrinogen III biosynthetic process [GO:0006780]	folic acid binding [GO:0005542]; uroporphyrinogen-III synthase activity [GO:0004852]
evm.utg7.6.1.5c22f35c	P51163	swissprot	Uros Uros3	cellular response to amine stimulus [GO:0071418]; cellular response to arsenic-containing substance [GO:0071243]; heme A biosynthetic process [GO:0006784]; heme B biosynthetic process [GO:0006785]; heme biosynthetic process [GO:0006783]; porphyrin-containing compound biosynthetic process [GO:0006779]; protoporphyrinogen IX biosynthetic process [GO:0006782]; response to platinum ion [GO:0070541]; tetrapyrrole biosynthetic process [GO:0033014]; uroporphyrinogen III biosynthetic process [GO:0006780]	folic acid binding [GO:0005542]; uroporphyrinogen-III synthase activity [GO:0004852]
evm.utg7.6.2.5c22f35c	P51163	swissprot	Uros Uros3	cellular response to amine stimulus [GO:0071418]; cellular response to arsenic-containing substance [GO:0071243]; heme A biosynthetic process [GO:0006784]; heme B biosynthetic process [GO:0006785]; heme biosynthetic process [GO:0006783]; porphyrin-containing compound biosynthetic process [GO:0006779]; protoporphyrinogen IX biosynthetic process [GO:0006782]; response to platinum ion [GO:0070541]; tetrapyrrole biosynthetic process [GO:0033014]; uroporphyrinogen III biosynthetic process [GO:0006780]	folic acid binding [GO:0005542]; uroporphyrinogen-III synthase activity [GO:0004852]
evm.utg7.7	P00504	swissprot	GOT1	2-oxoglutarate metabolic process [GO:0006103]; aspartate metabolic process [GO:0006531]; cellular response to insulin stimulus [GO:0032869]; gluconeogenesis [GO:0006094]; glutamate metabolic process [GO:0006536]; glycerol biosynthetic process [GO:0006114]; L-amino acid metabolic process [GO:0170033]; L-aspartate biosynthetic process [GO:0006532]; L-aspartate catabolic process [GO:0006533]; malate-aspartate shuttle [GO:0043490]; response to glucocorticoid [GO:0051384]	(2S)-2-aminobutanoate:2-oxoglutarate transaminase activity [GO:0120554]; L-aspartate:2-oxoglutarate transaminase activity [GO:0004069]; L-cysteine:2-oxoglutarate transaminase activity [GO:0047801]; phosphatidylserine decarboxylase activity [GO:0004609]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]
evm.utg7.8	Q6NRM7	swissprot	chmp3 vps24	endosome transport via multivesicular body sorting pathway [GO:0032509]; late endosome to vacuole transport [GO:0045324]; protein transport [GO:0015031]; vacuolar transport [GO:0007034]	
evm.utg7.8.1.5c22f361	P36095	swissprot	VPS24 DID3 YKL041W YKL254	ATP export [GO:1904669]; endosome transport via multivesicular body sorting pathway [GO:0032509]; intralumenal vesicle formation [GO:0070676]; late endosome to vacuole transport [GO:0045324]; protein transport [GO:0015031]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]; vacuolar transport [GO:0007034]	identical protein binding [GO:0042802]; protein binding [GO:0005515]
evm.utg7.10	O17185	swissprot	sup-9 F34D6.3	potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; regulation of muscle contraction [GO:0006937]	outward rectifier potassium channel activity [GO:0015271]; potassium channel activity [GO:0005267]; potassium ion leak channel activity [GO:0022841]
evm.utg7.11	O17185	swissprot	sup-9 F34D6.3	potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; regulation of muscle contraction [GO:0006937]	outward rectifier potassium channel activity [GO:0015271]; potassium channel activity [GO:0005267]; potassium ion leak channel activity [GO:0022841]
evm.utg7.12.1.5c22f35c	Q9W735	swissprot	prom1a proml1	camera-type eye photoreceptor cell differentiation [GO:0060219]; microvillus organization [GO:0032528]	
