Chr	Start	End	Strand	Length	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
evm.TU.utg4.21	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	243336;246803;247136;247601;247958;248214;248985;249312;249928;250312;250746;251480;253238	243425;247050;247525;247870;248108;248279;249232;249453;250241;250450;251029;251510;253315	-;-;-;-;-;-;-;-;-;-;-;-;-	2451	0	2	0	0	1	2	6	2	0	2	2	0	2	1	0	3	1	3	2	2	1	0	2	0	0	3	2	0
evm.TU.utg4.22	utg4;utg4	258143;258788	258353;259578	+;+	1002	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	2	0	0	0	2	0	0
evm.TU.utg4.23	utg4;utg4;utg4;utg4;utg4;utg4	263425;263697;266986;268958;270499;271465	263472;263867;267087;269032;270550;271496	-;-;-;-;-;-	480	84	70	118	133	75	429	53	71	53	58	320	424	56	53	32	413	69	104	126	113	210	80	9	385	87	89	44	61
evm.TU.utg4.24	utg4;utg4	274685;275589	275208;275673	+;+	609	80	25	96	73	97	50	40	70	49	38	109	475	24	25	51	522	36	114	50	98	18	65	49	74	75	89	44	79
evm.TU.utg4.25	utg4	277124	277882	+	759	2	0	0	2	2	2	0	0	0	0	2	76	0	0	0	64	2	0	0	0	2	2	2	0	0	2	0	2
evm.TU.utg4.26	utg4;utg4	278140;278763	278380;279286	-;-	765	81	21	100	65	81	52	37	61	54	35	103	456	19	23	48	485	41	131	52	106	17	55	52	98	77	84	35	69
evm.TU.utg4.27	utg4;utg4;utg4;utg4;utg4;utg4	280416;280853;283022;284666;285620;285949	280671;281040;283069;284757;285692;286204	+;+;+;+;+;+	913	1717	1826	3326	3539	1841	1483	2076	1958	1560	2473	1235	3281	1354	1903	1464	3145	2092	3758	3456	3323	884	1282	911	1273	2894	3771	1447	1553
tRNAscan-SE.tRNA.utg4.Pseudo(GTT).1	utg4	286673	286744	+	72	0	0	2	2	0	1	0	1	1	0	3	5	2	0	0	9	0	1	0	4	1	0	1	0	1	3	0	0
evm.TU.utg4.31	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	287791;287791;294546;294546;296756;296756;297137;297137;297499;297499;297637;297637;298056;298056;299210;299210;301712;301712;301961;301961;302079;302079;302671;303031;303603;304402;304680;305041;305390;305600	288001;288001;295169;295169;296861;296861;297196;297196;297554;297554;297725;297725;298132;298132;300522;300522;301797;301797;301991;301991;302153;302224;302726;303137;303712;304574;304747;305132;305510;306033	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3960	970	1599	2181	1112	1280	241	600	1349	863	737	648	1815	585	696	569	2050	1007	1755	723	2252	574	806	623	475	1938	1428	738	1053
evm.TU.utg4.28	utg4	288634	288978	-	345	0	1	6	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	2	0	2	0	1	5	0	0	0
evm.TU.utg4.29	utg4;utg4	289145;289634	289306;289837	-;-	366	0	2	1	1	0	0	1	0	0	0	0	5	0	2	0	3	0	3	0	1	0	0	0	0	0	0	2	0
evm.TU.utg4.30	utg4	290589	290978	+	390	0	1	5	4	4	0	1	0	4	0	0	1	1	0	1	2	4	1	2	4	0	2	0	0	7	0	1	0
evm.TU.utg4.32	utg4;utg4;utg4;utg4;utg4	305788;306142;306448;309938;311322	306039;306345;306549;310041;311625	-;-;-;-;-	966	88	102	303	160	116	10	70	32	57	25	36	183	23	31	86	151	74	133	45	184	15	57	110	33	191	130	33	48
tRNAscan-SE.tRNA.utg4.Cys(ACA).1	utg4	315121	315195	-	75	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0
evm.TU.utg4.33	utg4	321338	321985	+	648	0	0	2	4	0	0	2	0	0	6	0	0	0	0	0	0	2	48	0	0	0	2	0	0	2	0	0	0
evm.TU.utg4.34	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	322860;322860;322860;323197;323197;323197;328536;328536;328536;329272;329272;329272;329737;329737;329737;330553;330553;332274;332274;333401;334201	323011;323011;323011;323290;323290;323290;328594;328594;328594;329354;329354;329354;329779;330076;329779;330609;330609;332337;332365;333465;336271	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3013	660	790	1081	924	1092	294	613	793	590	563	718	1911	438	413	502	1918	626	1792	820	1604	330	647	282	500	1248	1181	554	655
tRNAscan-SE.tRNA.utg4.Pseudo(AGA).2	utg4	333549	333620	-	72	8	4	1	4	0	0	2	2	0	2	0	0	2	4	2	3	3	4	4	6	0	2	0	3	0	1	2	2
evm.TU.utg4.35	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	336417;338090;338667;339430;340126;340979;341212;342097;342601;342757;343202;344377;345332;345744	336537;338165;338796;339488;340232;341067;341344;342179;342640;342854;343304;344496;345426;345815	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1326	170	122	236	262	220	75	168	238	198	199	105	407	163	127	154	367	165	437	226	392	53	130	116	117	346	307	136	181
evm.TU.utg4.36	utg4	345987	347537	+	1551	37	33	43	48	57	14	15	32	25	28	28	90	22	41	44	76	23	93	42	83	13	24	15	25	52	27	19	34
evm.TU.utg4.37	utg4	350961	351444	+	484	886	1026	1497	1993	1053	543	1107	1136	1038	1202	600	2071	755	1011	1125	2438	1025	2295	2285	2039	428	824	733	791	1831	2009	827	1067
evm.TU.utg4.38	utg4;utg4;utg4;utg4;utg4;utg4	357048;358405;359228;360535;378369;379876	357612;358935;359334;360605;378569;380428	-;-;-;-;-;-	2028	57	87	87	52	91	11	27	61	45	55	59	147	27	40	58	101	54	187	71	160	26	52	30	37	99	82	40	47
evm.TU.utg4.39	utg4;utg4;utg4;utg4;utg4	383825;385653;386964;387559;389734	384590;386266;387115;387697;389823	+;+;+;+;+	1761	300	247	408	427	380	93	211	372	272	311	199	527	184	200	314	651	268	616	433	627	131	290	271	169	457	408	214	339
evm.TU.utg4.40	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	393586;394214;396569;397075;397565;397829;397990;398126;398307;399071;399905;400333;400695;401450;401799;402036;402842;406356	393688;394284;396673;397175;397670;397909;398051;398214;398388;399131;399969;400396;400785;401563;401881;402120;402889;406600	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1656	379	373	544	557	622	94	376	368	246	299	346	919	169	242	189	831	341	621	387	792	273	318	205	221	641	515	254	368
tRNAscan-SE.tRNA.utg4.SeC(TCA).1	utg4	394861	394933	-	73	0	1	0	0	2	0	0	1	3	4	1	0	0	0	0	2	0	3	0	2	1	0	0	0	4	6	1	1
tRNAscan-SE.tRNA.utg4.Pseudo(TGC).3	utg4	409267	409339	-	73	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg4.41	utg4;utg4;utg4;utg4	411079;412791;417015;418985	411644;413542;417225;419336	-;-;-;-	1881	2	2	10	2	13	0	2	4	2	3	28	25	2	2	4	22	2	14	4	18	15	6	0	2	12	6	8	2
evm.TU.utg4.42	utg4;utg4;utg4	420068;424286;424780	420175;424336;424970	+;+;+	350	24	67	79	84	65	28	45	56	57	85	12	115	32	30	53	138	81	211	107	119	14	29	16	53	96	117	41	41
evm.TU.utg4.43	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	429124;430852;431502;433025;434342;434566;435387;435705;436242;439695;440627	430697;431229;431732;433156;434487;434778;435614;435965;436370;439822;441522	-;-;-;-;-;-;-;-;-;-;-	4316	517	401	993	380	1262	94	338	501	314	625	726	1547	317	367	472	1032	540	783	650	1190	446	496	509	102	983	569	327	589
evm.TU.utg4.44	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	444291;444557;446183;446703;447238;448110;448951;449372;449582;450305;450606;452654;453438;454054;455534;457038;457191	444339;444616;446334;446776;447297;448158;449017;449436;449651;450382;450686;452723;453503;454087;455690;457087;457292	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1284	329	472	744	378	573	74	340	523	437	333	229	526	246	437	369	465	413	690	437	600	163	266	323	157	717	598	293	446
evm.TU.utg4.45	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	457395;457395;457699;457699;458169;458169;458496;458496;459657;459657;463046	457421;457421;457708;457708;458216;458216;458701;458701;459870;460107;463192	+;+;+;+;+;+;+;+;+;+;+	889	54614	51071	81792	110300	80839	28704	51818	53783	50062	52432	41480	116321	32529	39610	49879	149207	58949	134002	107986	99232	24125	38067	43724	38789	98202	108198	45022	55221
evm.TU.utg4.46	utg4	466772	469906	-	3135	222	232	348	258	398	91	145	223	168	178	179	524	142	158	201	484	188	412	296	412	126	232	209	145	383	327	147	184
evm.TU.utg4.47	utg4;utg4;utg4	475728;476671;479587	475807;476899;481185	+;+;+	1908	141516	137966	222828	241528	198683	77753	142558	155914	129421	140855	114546	247954	108698	117156	140742	330393	163996	262481	216695	238063	78097	91019	126198	91724	231059	263952	115498	146995
evm.TU.utg4.48	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	482633;482633;484600;484600;485149;485149;486673;486673;489956;489956;491069;491069;493585;495601;495601;497142;497142;497292;497292	482917;482917;484757;484757;485278;485278;486885;486885;490111;490111;491209;491209;493743;495684;495684;497212;497212;497513;497513	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1619	676	1098	2318	1502	951	422	1358	781	708	837	458	2630	495	783	638	1326	1170	1515	1176	1756	438	947	698	830	1775	1930	715	671
evm.TU.utg4.49	utg4;utg4;utg4	500214;503404;505222	500766;503479;505230	-;-;-	638	3900	3718	6961	7199	4911	1815	3496	3872	3786	4039	3917	12253	2053	2976	3488	11117	3638	8272	7449	7134	2081	3428	2358	3409	7379	7484	2655	3522
evm.TU.utg4.50	utg4	507191	509694	-	2504	835	827	1359	902	1188	291	554	737	539	820	618	1860	360	638	712	1748	883	1566	1043	1719	392	690	724	541	1427	1098	369	640
evm.TU.utg4.51	utg4;utg4;utg4;utg4	509869;511404;517221;518067	510552;511744;517495;518481	+;+;+;+	1715	131	177	331	257	203	124	172	215	147	228	163	556	90	256	108	354	202	592	381	389	92	190	115	114	290	350	140	188
evm.TU.utg4.52	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	524193;525903;526525;526801;527361;528021;528447;528598;528893;529236;529460;533741	524251;525993;526585;526830;527437;528051;528492;528658;528938;529338;529499;533863	+;+;+;+;+;+;+;+;+;+;+;+	768	199	219	283	298	256	324	223	308	307	255	240	513	180	189	211	866	299	809	341	537	140	111	95	357	401	418	196	203
evm.TU.utg4.53	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	533982;534617;535400;536019;536132;536301;537289;537582;537582;538009;538009;538009;538437;538437;538437;539584;539584;539584;539953;539953;539953;540636;540636;540636;541513;541513;541513;541947;541947;541947;543783;543783;543783;544198;544198;544198;544930;544930;544930;545627;545627;545627;549055;549055;549055	534277;534779;535581;536145;536526;536526;537821;537821;537821;538252;538252;538252;538646;538646;538646;539760;539760;539760;540190;540190;540190;540822;540822;540822;541681;541681;541681;542096;542096;542096;543964;543964;543964;544330;544330;544330;545171;545171;545171;545824;545824;545824;549276;549276;549276	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4034	4102	3088	6286	6032	5441	1303	3361	2625	2966	2861	3306	9028	1690	1256	3822	10575	3280	6967	5944	6825	2113	4032	3707	4072	6843	5457	2334	3130
evm.TU.utg4.54	utg4;utg4;utg4	550785;556691;557472	553369;556701;557620	+;+;+	2745	264	249	446	378	248	106	175	171	111	178	97	370	93	69	135	234	182	470	226	376	84	221	209	281	393	297	213	200
evm.TU.utg4.55	utg4;utg4	558814;558988	558901;559555	-;-	656	2	0	0	2	2	5	4	5	4	1	4	16	4	1	7	27	6	4	3	7	2	2	2	6	11	8	4	4
evm.TU.utg4.56	utg4	565809	566117	+	309	6	1	3	2	0	0	0	2	0	2	0	2	4	4	2	14	0	8	0	2	2	5	4	0	1	2	2	2
tRNAscan-SE.tRNA.utg4.SeC(TCA).2	utg4	567326	567398	+	73	0	1	3	0	0	0	0	2	3	0	0	1	0	0	0	5	0	3	0	2	0	2	2	1	1	0	0	0
evm.TU.utg4.57	utg4	571218	571523	-	306	0	5	3	2	7	0	1	11	4	3	4	11	3	2	0	32	3	9	1	13	6	3	3	0	6	9	2	4
evm.TU.utg4.59	utg4	572478	573089	-	612	0	8	3	7	2	0	0	1	2	4	4	24	3	1	3	29	1	10	3	9	11	1	0	0	5	2	3	4
evm.TU.utg4.61	utg4;utg4;utg4;utg4	578326;578671;578944;579651	578341;578837;579102;580808	+;+;+;+	1500	61	57	134	66	74	10	43	44	35	22	22	130	21	30	29	124	56	128	57	110	8	64	20	20	96	74	43	37
evm.TU.utg4.62	utg4;utg4;utg4;utg4;utg4	580959;581931;582504;583118;583764	581654;582190;582918;583202;583924	-;-;-;-;-	1617	59	26	126	109	55	11	113	30	39	42	12	124	16	2	25	123	51	142	44	105	0	16	21	38	68	39	36	41
evm.TU.utg4.63	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	586496;587155;587442;593774;594652;594883;598366;599103	586890;587202;587624;593901;594807;594946;598867;599717	-;-;-;-;-;-;-;-	2091	1238	542	1373	1875	988	856	793	739	395	593	901	2044	218	330	846	1665	765	2217	1013	1457	463	1143	1247	1950	1764	1113	1126	1065
tRNAscan-SE.tRNA.utg4.Pseudo(AGA).4	utg4	588946	589017	+	72	4	2	0	0	0	2	0	0	0	0	0	3	0	0	0	3	2	0	0	0	0	0	3	1	0	0	0	1
tRNAscan-SE.tRNA.utg4.Ser(AGA).2	utg4	589210	589281	+	72	5	7	17	5	9	2	4	5	3	4	2	22	5	3	3	42	9	6	3	3	2	4	10	5	7	11	3	4
tRNAscan-SE.tRNA.utg4.Pseudo(AGA).5	utg4	589475	589547	+	73	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	2	0	0	3	1	1	0
evm.TU.utg4.64	utg4	600091	600507	-	417	0	0	4	0	0	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0
evm.TU.utg4.65	utg4	600682	601230	-	549	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2
evm.TU.utg4.66	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	615195;617300;618179;620653;621308;622052;626715;626789;627410;627410;627767;627767;628318;628318;628856;628856;639120;639120;639928;639928;640334;640334;641094;641094;641407;641407;641979;641979;642126;642126;642313;642313;645382;645382;645594;645594;645800;645800;646233;646233;646625;646625;646906;646906;647385;647385;651654;651654;651989;651989;652678;652678;653322;653322;654467;654467;654679;654679;654992;654992;656640;656640;656986;656986;657955;657955;658459;658459;658671;658671;659917;659917;660250;660250;660558;660558;661166;661166;661636;661636;662170;662170;662606;662606;663602;663602;663990;663990;664306;664306;666887;666887;667628;667628;667893;667893;668126;668126;668546;668546;668871;668871;669259;669259;670725;670725;671351;671351;672372;672372;674608;674608;674761;674761;675543;675543;676944;676944;680568;680568;686526;686526;686964;686964	615662;617791;618520;620943;621484;622209;626996;626996;627568;627568;627906;627906;628534;628534;629922;629922;639800;639800;640234;640234;640396;640396;641273;641273;641578;641578;642052;642052;642222;642222;642393;642393;645452;645452;645714;645714;645937;645937;646475;646475;646714;646714;647137;647137;647597;647597;651732;651732;652273;652273;652885;652885;653567;653567;654578;654578;654865;654865;655348;655348;656910;656910;657153;657153;658236;658236;658562;658562;659719;659719;660138;660138;660479;660479;660792;660792;661388;661388;662097;662097;662416;662416;663040;663040;663778;663778;664127;664127;664491;664491;667345;667345;667725;667725;668048;668048;668414;668414;668702;668702;669000;669000;669338;669338;670828;670828;671437;671437;672462;672462;674665;674665;674813;674813;675615;675615;677038;677038;680646;680646;686866;686866;687047;687047	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	14893	3073	3916	7221	4576	4508	1837	2506	3087	2220	2009	1927	7079	2018	1459	1892	7120	2382	3973	2521	4702	1704	2537	3073	3587	6212	4448	1942	4308
tRNAscan-SE.tRNA.utg4.Glu(CTC).1	utg4	648302	648373	-	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
tRNAscan-SE.tRNA.utg4.Pseudo(GGA).6	utg4	663285	663355	+	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg4.67	utg4;utg4	690321;692775	690778;693100	+;+	784	184	136	244	129	109	14	79	93	95	121	18	288	58	64	49	117	105	179	126	270	22	94	80	31	240	180	89	108
utg4.equina_smart_1391783.path1	utg4;utg4	697947;699009	698333;699188	-;-	567	0	11	2	0	3	3	0	1	2	0	50	77	1	0	0	75	0	5	1	3	36	0	6	5	2	6	2	1
