"ID","Description","ontology","semantic_cluster_id","semantic_cluster_GO","semantic_cluster_Description","cluster_size","mean_similarity_to_cluster","n_hits","best_p_adjust","experiments","regions","sources"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","BP","BP_12","GO:0007155","cell adhesion",3,0.673855502106646,3,0.0908884344467162,"Acute Experiment","dispersed_repeat; exon","Acute Experiment_ORA"
"GO:0007165","signal transduction","BP","BP_13","GO:1901987","regulation of cell cycle phase transition",2,0.678415728034602,2,0.186513242887294,"Acute Experiment","dispersed_repeat; gene","Acute Experiment_ORA"
"GO:1901987","regulation of cell cycle phase transition","BP","BP_13","GO:1901987","regulation of cell cycle phase transition",2,0.678415728034602,1,0.0760456273764255,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0007411","axon guidance","BP","BP_14","GO:0007411","axon guidance",1,1,1,0.174173532917027,"Acute Experiment","exon","Acute Experiment_ORA"
"GO:0010571","positive regulation of nuclear cell cycle DNA replication","BP","BP_15","GO:0010571","positive regulation of nuclear cell cycle DNA replication",1,1,1,0.0760456273764255,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0016310","phosphorylation","BP","BP_16","GO:0016310","phosphorylation",1,1,1,0.430619468587441,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0030154","cell differentiation","BP","BP_17","GO:0070593","dendrite self-avoidance",2,0.748310163501551,2,0.265107212475634,"Acute Experiment","dispersed_repeat; gene","Acute Experiment_ORA"
"GO:0070593","dendrite self-avoidance","BP","BP_17","GO:0070593","dendrite self-avoidance",2,0.748310163501551,1,0.174173532917027,"Acute Experiment","exon","Acute Experiment_ORA"
"GO:0030198","extracellular matrix organization","BP","BP_18","GO:0030198","extracellular matrix organization",1,1,1,0.167320261437909,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0030433","ubiquitin-dependent ERAD pathway","BP","BP_19","GO:1904294","positive regulation of ERAD pathway",2,0.765087682369792,1,0.261693955847068,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:1904294","positive regulation of ERAD pathway","BP","BP_19","GO:1904294","positive regulation of ERAD pathway",2,0.765087682369792,1,0.102670800696258,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0007154","cell communication","BP","BP_2","GO:0007154","cell communication",3,0.657236149017841,3,2.67180634739942e-05,"Acute Experiment","dispersed_repeat; exon","Acute Experiment_ORA"
"GO:0051301","cell division","BP","BP_2","GO:0007154","cell communication",3,0.657236149017841,2,0.167320261437909,"Acute Experiment","dispersed_repeat; gene","Acute Experiment_ORA"
"GO:0000278","mitotic cell cycle","BP","BP_2","GO:0007154","cell communication",3,0.618886301079822,1,0.184439473030077,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0030574","collagen catabolic process","BP","BP_20","GO:0030574","collagen catabolic process",1,1,1,0.167320261437909,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0034765","regulation of monoatomic ion transmembrane transport","BP","BP_21","GO:0034765","regulation of monoatomic ion transmembrane transport",1,1,2,0.102670800696258,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0042254","ribosome biogenesis","BP","BP_22","GO:0042254","ribosome biogenesis",1,1,1,0.102670800696258,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0042981","regulation of apoptotic process","BP","BP_23","GO:0042981","regulation of apoptotic process",1,1,1,0.392864159193891,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0045087","innate immune response","BP","BP_24","GO:0045087","innate immune response",2,0.815987186574425,1,0.0760456273764255,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0051607","defense response to virus","BP","BP_24","GO:0045087","innate immune response",2,0.815987186574425,1,0.112221618685498,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0046931","pore complex assembly","BP","BP_25","GO:0046931","pore complex assembly",2,0.822743744846685,1,0.102670800696258,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0051260","protein homooligomerization","BP","BP_25","GO:0046931","pore complex assembly",2,0.822743744846685,1,0.102670800696258,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0048511","rhythmic process","BP","BP_26","GO:0050896","response to stimulus",2,0.705882352941176,1,0.167320261437909,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0050896","response to stimulus","BP","BP_26","GO:0050896","response to stimulus",2,0.705882352941176,1,0.167320261437909,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0051715","cytolysis in another organism","BP","BP_27","GO:0051715","cytolysis in another organism",1,1,1,0.102670800696258,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0060271","cilium assembly","BP","BP_28","GO:0060271","cilium assembly",1,1,1,0.0555555555555556,"Acute Experiment","three_prime_UTR","Acute Experiment_ORA"
"GO:0070202","regulation of establishment of protein localization to chromosome","BP","BP_29","GO:0070202","regulation of establishment of protein localization to chromosome",1,1,1,0.167320261437909,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0001732","formation of cytoplasmic translation initiation complex","BP","BP_3","GO:0001732","formation of cytoplasmic translation initiation complex",1,1,1,0.102670800696258,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0070507","regulation of microtubule cytoskeleton organization","BP","BP_30","GO:0070507","regulation of microtubule cytoskeleton organization",1,1,1,0.0760456273764255,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:2000036","regulation of stem cell population maintenance","BP","BP_31","GO:2000036","regulation of stem cell population maintenance",1,1,1,0.184439473030077,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0001822","kidney development","BP","BP_4","GO:0001822","kidney development",2,0.774944169954757,1,0.152878694753133,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0007399","nervous system development","BP","BP_4","GO:0001822","kidney development",2,0.774944169954757,1,0.167320261437909,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0006508","proteolysis","BP","BP_5","GO:0006508","proteolysis",3,0.629328943199752,2,0.167320261437909,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0005975","carbohydrate metabolic process","BP","BP_5","GO:0006508","proteolysis",3,0.625119628442948,2,0.250881552629606,"Acute Experiment","dispersed_repeat; promoter","Acute Experiment_ORA"
"GO:0046416","D-amino acid metabolic process","BP","BP_5","GO:0006508","proteolysis",3,0.604026913947936,2,0.112221618685498,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0006325","chromatin organization","BP","BP_6","GO:0030261","chromosome condensation",2,0.77729439755601,1,0.289899418615472,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0030261","chromosome condensation","BP","BP_6","GO:0030261","chromosome condensation",2,0.77729439755601,1,0.184439473030077,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0045944","positive regulation of transcription by RNA polymerase II","BP","BP_7","GO:0045944","positive regulation of transcription by RNA polymerase II",3,0.754930068226593,1,0.167320261437909,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0045892","negative regulation of DNA-templated transcription","BP","BP_7","GO:0045944","positive regulation of transcription by RNA polymerase II",3,0.728638701869188,1,0.34046706169397,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0006366","transcription by RNA polymerase II","BP","BP_7","GO:0045944","positive regulation of transcription by RNA polymerase II",3,0.720654583807491,1,0.167320261437909,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0006468","protein phosphorylation","BP","BP_8","GO:0006468","protein phosphorylation",4,0.703374850063978,5,0.0750000000000001,"Acute Experiment","dispersed_repeat; exon; gene; promoter","Acute Experiment_ORA"
"GO:0006470","protein dephosphorylation","BP","BP_8","GO:0006468","protein phosphorylation",4,0.703374850063978,1,0.271675236067131,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0016567","protein ubiquitination","BP","BP_8","GO:0006468","protein phosphorylation",4,0.64162730393185,1,0.5236472528443,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0016573","histone acetylation","BP","BP_8","GO:0006468","protein phosphorylation",4,0.585425173071308,1,0.167320261437909,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0006635","fatty acid beta-oxidation","BP","BP_9","GO:0006635","fatty acid beta-oxidation",2,0.742963013239012,1,0.0760456273764255,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0034440","lipid oxidation","BP","BP_9","GO:0006635","fatty acid beta-oxidation",2,0.742963013239012,1,0.167320261437909,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0000166","nucleotide binding","MF","MF_1","GO:0000166","nucleotide binding",5,0.697829679860166,1,0.237751819833292,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0070403","NAD+ binding","MF","MF_1","GO:0000166","nucleotide binding",5,0.676500078801786,2,0.195625159762658,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0043531","ADP binding","MF","MF_1","GO:0000166","nucleotide binding",5,0.675150071736791,1,0.4375,"Acute Experiment","promoter","Acute Experiment_ORA"
"GO:0071949","FAD binding","MF","MF_1","GO:0000166","nucleotide binding",5,0.671803089356653,2,0.195625159762658,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0005524","ATP binding","MF","MF_1","GO:0000166","nucleotide binding",5,0.668475810051244,5,0.362402739775672,"Acute Experiment","dispersed_repeat; exon; gene; promoter","Acute Experiment_ORA"
"GO:0003964","RNA-directed DNA polymerase activity","MF","MF_10","GO:0003964","RNA-directed DNA polymerase activity",2,0.834574652908918,3,0.1948738960201,"Acute Experiment","dispersed_repeat; exon; gene","Acute Experiment_ORA"
"GO:0016779","nucleotidyltransferase activity","MF","MF_10","GO:0003964","RNA-directed DNA polymerase activity",2,0.834574652908918,1,0.241725167756029,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0004721","phosphoprotein phosphatase activity","MF","MF_11","GO:0004721","phosphoprotein phosphatase activity",3,0.83773674242409,1,0.1230012300123,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0004725","protein tyrosine phosphatase activity","MF","MF_11","GO:0004721","phosphoprotein phosphatase activity",3,0.809602608572543,1,0.296356161313779,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0004035","alkaline phosphatase activity","MF","MF_11","GO:0004721","phosphoprotein phosphatase activity",3,0.727463992889562,1,0.136363636363636,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0004100","chitin synthase activity","MF","MF_12","GO:0004100","chitin synthase activity",1,1,1,0.17638205788746,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0004197","cysteine-type endopeptidase activity","MF","MF_13","GO:0004197","cysteine-type endopeptidase activity",4,0.719709794417195,1,0.195625159762658,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0008234","cysteine-type peptidase activity","MF","MF_13","GO:0004197","cysteine-type endopeptidase activity",4,0.698381357457193,1,0.486522356915433,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0004222","metalloendopeptidase activity","MF","MF_13","GO:0004197","cysteine-type endopeptidase activity",4,0.661067022725234,1,0.375293184276956,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0004252","serine-type endopeptidase activity","MF","MF_13","GO:0004197","cysteine-type endopeptidase activity",4,0.64435911485864,1,0.486522356915433,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0004300","enoyl-CoA hydratase activity","MF","MF_14","GO:0004300","enoyl-CoA hydratase activity",1,1,1,0.1230012300123,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0004402","histone acetyltransferase activity","MF","MF_15","GO:0004402","histone acetyltransferase activity",1,1,1,0.264942016057092,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0004540","RNA nuclease activity","MF","MF_16","GO:0004540","RNA nuclease activity",1,1,2,0.209073214790703,"Acute Experiment","exon; gene","Acute Experiment_ORA"
"GO:0102148","N-acetyl-beta-D-galactosaminidase activity","MF","MF_17","GO:0102148","N-acetyl-beta-D-galactosaminidase activity",3,0.707731977097945,1,0.4375,"Acute Experiment","promoter","Acute Experiment_ORA"
"GO:0016787","hydrolase activity","MF","MF_17","GO:0102148","N-acetyl-beta-D-galactosaminidase activity",3,0.696870669076948,2,0.343952703664683,"Acute Experiment","gene; promoter","Acute Experiment_ORA"
"GO:0004563","beta-N-acetylhexosaminidase activity","MF","MF_17","GO:0102148","N-acetyl-beta-D-galactosaminidase activity",3,0.689138141977995,1,0.4375,"Acute Experiment","promoter","Acute Experiment_ORA"
"GO:0004674","protein serine/threonine kinase activity","MF","MF_18","GO:0004674","protein serine/threonine kinase activity",3,0.872260091420654,2,0.219569826227191,"Acute Experiment","gene; promoter","Acute Experiment_ORA"
"GO:0004672","protein kinase activity","MF","MF_18","GO:0004674","protein serine/threonine kinase activity",3,0.853897841963767,4,0.239037692400921,"Acute Experiment","dispersed_repeat; exon; gene","Acute Experiment_ORA"
"GO:0004675","transmembrane receptor protein serine/threonine kinase activity","MF","MF_18","GO:0004674","protein serine/threonine kinase activity",3,0.799400299698792,1,0.264942016057092,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0004842","ubiquitin-protein transferase activity","MF","MF_19","GO:0061630","ubiquitin protein ligase activity",2,0.882714456616078,2,0.475827748040414,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0061630","ubiquitin protein ligase activity","MF","MF_19","GO:0061630","ubiquitin protein ligase activity",2,0.882714456616078,1,0.17638205788746,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0000215","tRNA 2-phosphotransferase activity","MF","MF_2","GO:0000215","tRNA 2-phosphotransferase activity",1,1,1,0.264942016057092,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0004867","serine-type endopeptidase inhibitor activity","MF","MF_20","GO:0004867","serine-type endopeptidase inhibitor activity",1,1,1,0.279200286324474,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0004930","G protein-coupled receptor activity","MF","MF_21","GO:0004930","G protein-coupled receptor activity",1,1,2,0.391470065830254,"Acute Experiment","dispersed_repeat; gene","Acute Experiment_ORA"
"GO:0005044","scavenger receptor activity","MF","MF_22","GO:0005044","scavenger receptor activity",1,1,3,0.00846910331215265,"Acute Experiment","dispersed_repeat; exon; gene","Acute Experiment_ORA"
"GO:0005085","guanyl-nucleotide exchange factor activity","MF","MF_23","GO:0005085","guanyl-nucleotide exchange factor activity",1,1,1,0.375293184276956,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0005245","voltage-gated calcium channel activity","MF","MF_24","GO:0005245","voltage-gated calcium channel activity",3,0.829383142449268,1,0.136363636363636,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0005262","calcium channel activity","MF","MF_24","GO:0005245","voltage-gated calcium channel activity",3,0.787723823263991,1,0.17638205788746,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0005249","voltage-gated potassium channel activity","MF","MF_24","GO:0005245","voltage-gated calcium channel activity",3,0.756663416652456,1,0.17638205788746,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0046872","metal ion binding","MF","MF_25","GO:0046872","metal ion binding",3,0.844500090415137,6,0.195625159762658,"Acute Experiment","dispersed_repeat; downstream_region; gene; promoter","Acute Experiment_ORA"
"GO:0005509","calcium ion binding","MF","MF_25","GO:0046872","metal ion binding",3,0.791666231249055,3,0.00505518218899781,"Acute Experiment","dispersed_repeat; exon","Acute Experiment_ORA"
"GO:0008270","zinc ion binding","MF","MF_25","GO:0046872","metal ion binding",3,0.752833309165074,5,0.296356161313779,"Acute Experiment","dispersed_repeat; exon; gene","Acute Experiment_ORA"
"GO:0008017","microtubule binding","MF","MF_26","GO:0008017","microtubule binding",1,1,1,0.241725167756029,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0008201","heparin binding","MF","MF_27","GO:0008201","heparin binding",1,1,1,0.264942016057092,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0008483","transaminase activity","MF","MF_28","GO:0008483","transaminase activity",2,0.828736072212931,2,0.136363636363636,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0016740","transferase activity","MF","MF_28","GO:0008483","transaminase activity",2,0.828736072212931,2,0.264942016057092,"Acute Experiment","dispersed_repeat; gene","Acute Experiment_ORA"
"GO:0015267","channel activity","MF","MF_29","GO:0015267","channel activity",2,0.828736072212931,1,0.17638205788746,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0022857","transmembrane transporter activity","MF","MF_29","GO:0015267","channel activity",2,0.828736072212931,3,0.375293184276956,"Acute Experiment","downstream_region; gene; promoter","Acute Experiment_ORA"
"GO:0003899","DNA-directed 5-3 RNA polymerase activity","MF","MF_3","GO:0003899","DNA-directed 5-3 RNA polymerase activity",3,0.908386878912281,1,0.264942016057092,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0001054","RNA polymerase I activity","MF","MF_3","GO:0003899","DNA-directed 5-3 RNA polymerase activity",3,0.861204040433608,1,0.264942016057092,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0001056","RNA polymerase III activity","MF","MF_3","GO:0003899","DNA-directed 5-3 RNA polymerase activity",3,0.861204040433608,1,0.264942016057092,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF","MF_30","GO:0051213","dioxygenase activity",2,0.858477214831588,1,0.264942016057092,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0051213","dioxygenase activity","MF","MF_30","GO:0051213","dioxygenase activity",2,0.858477214831588,1,0.17638205788746,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0016874","ligase activity","MF","MF_31","GO:0016874","ligase activity",1,1,1,0.375293184276956,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0030247","polysaccharide binding","MF","MF_32","GO:0030247","polysaccharide binding",1,1,1,0.4375,"Acute Experiment","promoter","Acute Experiment_ORA"
"GO:0031267","small GTPase binding","MF","MF_33","GO:0031267","small GTPase binding",1,1,1,0.375293184276956,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0031369","translation initiation factor binding","MF","MF_34","GO:0046983","protein dimerization activity",3,0.698787635111889,1,0.17638205788746,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0046983","protein dimerization activity","MF","MF_34","GO:0046983","protein dimerization activity",3,0.698787635111889,3,0.0892727735992036,"Acute Experiment","dispersed_repeat; exon; gene","Acute Experiment_ORA"
"GO:0043130","ubiquitin binding","MF","MF_34","GO:0046983","protein dimerization activity",3,0.660767795556058,2,0.264942016057092,"Acute Experiment","dispersed_repeat; gene","Acute Experiment_ORA"
"GO:0043539","protein serine/threonine kinase activator activity","MF","MF_35","GO:0043539","protein serine/threonine kinase activator activity",1,1,1,0.1230012300123,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0045296","cadherin binding","MF","MF_36","GO:0098632","cell-cell adhesion mediator activity",2,0.763749350310713,1,0.17638205788746,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0098632","cell-cell adhesion mediator activity","MF","MF_36","GO:0098632","cell-cell adhesion mediator activity",2,0.763749350310713,1,0.0892727735992036,"Acute Experiment","exon","Acute Experiment_ORA"
"GO:0090729","toxin activity","MF","MF_37","GO:0090729","toxin activity",1,1,2,0.539046930623991,"Acute Experiment","dispersed_repeat; gene","Acute Experiment_ORA"
"GO:0106245","L-serine-phosphatidylethanolamine phosphatidyltransferase activity","MF","MF_38","GO:0106245","L-serine-phosphatidylethanolamine phosphatidyltransferase activity",1,1,1,0.4375,"Acute Experiment","promoter","Acute Experiment_ORA"
"GO:0140297","DNA-binding transcription factor binding","MF","MF_39","GO:0140297","DNA-binding transcription factor binding",1,1,1,0.264942016057092,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0003676","nucleic acid binding","MF","MF_4","GO:0003676","nucleic acid binding",7,0.755500533475712,6,0.353116290030954,"Acute Experiment","dispersed_repeat; downstream_region; gene; promoter","Acute Experiment_ORA"
"GO:0003723","RNA binding","MF","MF_4","GO:0003676","nucleic acid binding",7,0.742036467038077,4,0.135194805194805,"Acute Experiment","dispersed_repeat; gene; promoter","Acute Experiment_ORA"
"GO:0003677","DNA binding","MF","MF_4","GO:0003676","nucleic acid binding",7,0.690061607206899,6,0.176409436679675,"Acute Experiment","dispersed_repeat; downstream_region; exon; gene","Acute Experiment_ORA"
"GO:0043565","sequence-specific DNA binding","MF","MF_4","GO:0003676","nucleic acid binding",7,0.618584823654081,1,0.296356161313779,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0003743","translation initiation factor activity","MF","MF_4","GO:0003676","nucleic acid binding",7,0.614595296269974,1,0.17638205788746,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0003746","translation elongation factor activity","MF","MF_4","GO:0003676","nucleic acid binding",7,0.614595296269974,1,0.264942016057092,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0035368","selenocysteine insertion sequence binding","MF","MF_4","GO:0003676","nucleic acid binding",7,0.601111659998764,4,0.0625,"Acute Experiment","downstream_region; gene; promoter; three_prime_UTR","Acute Experiment_ORA"
"GO:0003712","transcription coregulator activity","MF","MF_5","GO:0003712","transcription coregulator activity",1,1,1,0.264942016057092,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0003724","RNA helicase activity","MF","MF_6","GO:0003724","RNA helicase activity",2,0.89203599873924,1,0.1230012300123,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0004386","helicase activity","MF","MF_6","GO:0003724","RNA helicase activity",2,0.89203599873924,1,0.296356161313779,"Acute Experiment","dispersed_repeat","Acute Experiment_ORA"
"GO:0003755","peptidyl-prolyl cis-trans isomerase activity","MF","MF_7","GO:0003755","peptidyl-prolyl cis-trans isomerase activity",1,1,1,0.264942016057092,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0003857","3-hydroxyacyl-CoA dehydrogenase activity","MF","MF_8","GO:0003857","3-hydroxyacyl-CoA dehydrogenase activity",1,1,1,0.1230012300123,"Acute Experiment","gene","Acute Experiment_ORA"
"GO:0003884","D-amino-acid oxidase activity","MF","MF_9","GO:0003884","D-amino-acid oxidase activity",1,1,2,0.195625159762658,"Acute Experiment","gene","Acute Experiment_ORA"
